Remote_Ratio,SundialPasha-CXL,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET
0,790421.0,794908.0,756742.0,796335.0,757660.0
10,569405.0,328291.0,265000.0,226336.0,194520.0
20,530132.0,230181.0,179497.0,143973.0,119276.0
30,498457.0,182526.0,141198.0,105896.0,88219.0
40,470874.0,153631.0,117402.0,86562.4,68735.3
50,448407.0,133349.0,101205.0,71188.5,57103.1
60,429550.0,119183.0,89753.5,60281.8,48805.2
70,413107.0,107784.0,80825.2,52701.4,42318.5
80,398637.0,99133.3,73621.3,48024.5,37829.7
90,385534.0,91436.4,68264.0,43567.7,33436.0
100,374888.0,85304.1,63355.4,38971.1,31013.2
