Remote_Ratio,Tigon,Sundial-CXL,TwoPL-CXL,Sundial-NET,TwoPL-NET,Motor-RDMA(28thd)
0,770836,716638,767611,718270,767542,123109
10,552243,359049,360979,257628,275147,121504
20,510171,259371,257329,166524,174711,119295
30,479280,209302,206545,123016,129175,119932
40,452293,177011,174916,95025.2,106809,120018
50,430008,154381,152487,78927.6,88609.7,118710
60,411622,137641,135740,68309.7,75575.7,122929
70,395157,124275,122679,60194.5,64942.1,121626
80,380866,113133,111816,53197.4,57953,120467
90,369294,104074,102906,47427.2,52076.7,122468
100,358539,96442.8,95100.5,42841.4,46260.4,120042
