killing previous experiments...
initializing cxl memory...
I0914 15:28:37.015628 14365 bench_tpcc.cpp:71] WAL Group Commiting off. Log to file _non_group_commit.txt using Blackhole Logger
I0914 15:28:37.015667 14365 Database.h:166] creating hash tables for database...
I0914 15:28:37.019378 14365 Database.h:146] warehouse initialization finished in 0 milliseconds.
I0914 15:28:37.019538 14365 Database.h:146] district initialization finished in 0 milliseconds.
I0914 15:28:37.095942 14365 Database.h:146] customer initialization finished in 76 milliseconds.
I0914 15:28:37.110445 14365 Database.h:146] customer_name_idx initialization finished in 14 milliseconds.
I0914 15:28:37.152709 14365 Database.h:146] item initialization finished in 42 milliseconds.
I0914 15:28:37.320472 14365 Database.h:146] stock initialization finished in 167 milliseconds.
I0914 15:28:37.357107 14365 CXLMemory.h:40] cxlalloc initialized for thread 0 (global ID = 0) on host 0
I0914 15:28:37.357125 14365 Coordinator.h:42] Coordinator initializes 2 workers.
I0914 15:28:37.358961 14365 SundialPashaHelper.h:415] SundialPasha Helper initializes data migration metadata (160 CXL hash tables each with 1000 entries)
I0914 15:28:37.359100 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.360229 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.361374 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.362527 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.363672 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.364821 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.365971 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.367125 14365 MPSCRingBuffer.h:34] entry_struct_size: 512 entry_num: 4096
I0914 15:28:37.368283 14365 Coordinator.h:332] Coordinator 0 initializes CXL transport metadata (8 ringbuffers each with 4096 entries (each 503 Bytes)
I0914 15:28:37.368476 14379 Coordinator.h:368] Listener 0 on coordinator 0 listening on 192.168.100.2:1234 tcp_no_delay 1 tcp_quick_ack 0
I0914 15:28:37.368484 14365 Coordinator.h:414] Coordinator 0 failed to connect 1(192.168.100.3:1234)'s listener 0, retry in 5 seconds.
I0914 15:28:42.368655 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368669 14365 Coordinator.h:423] Coordinator 0 connected to 1
I0914 15:28:42.368757 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368758 14365 Coordinator.h:423] Coordinator 0 connected to 2
I0914 15:28:42.368773 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368793 14379 Coordinator.h:383] Listener accepted connection from coordinator 1
I0914 15:28:42.368803 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368805 14379 Coordinator.h:383] Listener accepted connection from coordinator 2
I0914 15:28:42.368809 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368810 14379 Coordinator.h:383] Listener accepted connection from coordinator 5
I0914 15:28:42.368830 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368832 14365 Coordinator.h:423] Coordinator 0 connected to 3
I0914 15:28:42.368901 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368902 14365 Coordinator.h:423] Coordinator 0 connected to 4
I0914 15:28:42.368954 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.368956 14365 Coordinator.h:423] Coordinator 0 connected to 5
I0914 15:28:42.368976 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.368978 14379 Coordinator.h:383] Listener accepted connection from coordinator 7
I0914 15:28:42.368999 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.369000 14379 Coordinator.h:383] Listener accepted connection from coordinator 3
I0914 15:28:42.369009 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.369009 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.369012 14365 Coordinator.h:423] Coordinator 0 connected to 6
I0914 15:28:42.369014 14379 Coordinator.h:383] Listener accepted connection from coordinator 6
I0914 15:28:42.369077 14379 Socket.h:69] Disabling nagle
I0914 15:28:42.369081 14379 Coordinator.h:383] Listener accepted connection from coordinator 4
I0914 15:28:42.369082 14379 Coordinator.h:386] Listener 0 on coordinator 0 exits.
I0914 15:28:42.369081 14365 Socket.h:69] Disabling nagle
I0914 15:28:42.369097 14365 Coordinator.h:423] Coordinator 0 connected to 7
I0914 15:28:42.369153 14365 Coordinator.h:435] Coordinator 0 connected to all peers.
I0914 15:28:42.369169 14365 Dispatcher.h:37] IncomingDispatcher 0 coord_id 0
I0914 15:28:42.369271 14365 Dispatcher.h:210] OutgoingDispatcher 0 coord_id 0
I0914 15:28:42.369308 14380 Dispatcher.h:56] Incoming Dispatcher started, numCoordinators = 8, numWorkers = 2, group id = 0, coordinator = 0
I0914 15:28:42.369333 14365 Coordinator.h:146] Coordinator starts to run 3 workers.
I0914 15:28:42.369352 14381 Dispatcher.h:222] Outgoing Dispatcher started, numCoordinators = 8, numWorkers = 3, group id = 0
I0914 15:28:42.369383 14382 Executor.h:74] Executor 0 starts.
I0914 15:28:42.369405 14382 CXLMemory.h:40] cxlalloc initialized for thread 1 (global ID = 1) on host 0
I0914 15:28:42.369431 14384 Manager.h:226] Manager(worker id = 2) on the coordinator node started.
I0914 15:28:42.369470 14383 Executor.h:74] Executor 1 starts.
I0914 15:28:42.369477 14383 CXLMemory.h:40] cxlalloc initialized for thread 2 (global ID = 2) on host 0
I0914 15:28:43.369494 14365 Coordinator.h:237] commit: 136408 abort: 6416 (648/5399/369), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1965572, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:44.369618 14365 Coordinator.h:237] commit: 137041 abort: 6449 (718/5330/401), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1979573, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:45.369688 14365 Coordinator.h:237] commit: 136784 abort: 6424 (689/5353/382), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1981897, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:46.369761 14365 Coordinator.h:237] commit: 137802 abort: 6317 (652/5274/391), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1987280, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:47.369836 14365 Coordinator.h:237] commit: 137464 abort: 6406 (658/5347/401), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1985675, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:48.369910 14365 Coordinator.h:237] commit: 137192 abort: 6347 (647/5340/360), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1983864, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:49.369979 14365 Coordinator.h:237] commit: 136783 abort: 6448 (692/5338/418), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1982535, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:50.370054 14365 Coordinator.h:237] commit: 136809 abort: 6425 (674/5356/395), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1977842, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:51.370126 14365 Coordinator.h:237] commit: 136325 abort: 6503 (708/5395/400), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1974870, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:52.370195 14365 Coordinator.h:237] commit: 137295 abort: 6392 (673/5301/418), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1985748, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:53.370265 14365 Coordinator.h:237] commit: 136777 abort: 6471 (716/5369/386), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1978160, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:54.370337 14365 Coordinator.h:237] commit: 136637 abort: 6447 (663/5396/388), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1976213, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
I0914 15:28:55.370409 14365 Coordinator.h:237] commit: 137036 abort: 6416 (655/5379/382), persistence latency 0, txn latency 0, queued lock latency 0, lock latency 0, active_txns 0, n_failed_read_lock 0, n_failed_write_lock 0, n_failed_cmd_not_ready 0, n_failed_no_cmd 0, network size: 0, avg network size: 0, si_in_serializable: 0 0 %, local: 0 %, local_access: 1974841, local_cxl_access: 0 (0%), remote_access: 0, remote_access_with_req: 0 (-nan%), data_move_in: 0, n_data_move_out: 0
